usdPerCall,id,block,provider,endpoint,displayName,description,coverage,dataClass,accuracyAssessment,freshnessAssessment,responseSpeed,relevance,officialStatus,licenceStatus,safetyAssessment,adoption,targetUsers,platformFit,limitation,feedProfile,override10,override100,researchCalls10,researchCalls100,feedCalls10,feedCalls100,researchCost10,researchCost100,feedCost10,feedCost100,sourceUrl
0.01,T01,1,nasdaq,/get_stock_earnings,Get earnings results,Reported earnings and expectations,"Unknown Monid count; US exchange-listed source scope, tool dependent.",reported,Good source-checking potential; reconcile selected values to company filings.,"Reporting-cycle data, often quarterly/annual; monitor revisions.",Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,High,See P1 source/provenance assessment; Monid authority unverified.,See P1 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Fundamental analysts and company researchers,Company earnings card and results alerts,Actuals and analyst estimates must remain separate; expected dates can change.,entity_daily,0,0,1100,11000,3000,30000,11.0,110.0,30.0,300.0,https://api.monid.ai/public/v1/providers/nasdaq/endpoints/get_stock_earnings
0.01,T02,1,nasdaq,/get_stock_screener,Run stock screener,Filter listed stocks,"Unknown Monid count; US exchange-listed source scope, tool dependent.",screen,Useful discovery subset; ranking/filter completeness unmeasured.,Depends on underlying fields and refresh schedule; not a full market tape.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium,See P1 source/provenance assessment; Monid authority unverified.,See P1 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Catalogue discovery and saved screens,"Universe, pagination and filter parity with Nasdaq are unverified.",global_market,0,0,1100,11000,1716,1716,11.0,110.0,17.16,17.16,https://api.monid.ai/public/v1/providers/nasdaq/endpoints/get_stock_screener
0.01,T03,1,nasdaq,/get_earnings_calendar,Get earnings calendar,Upcoming earnings dates,"Unknown Monid count; US exchange-listed source scope, tool dependent.",calendar,"Useful for planning; flag estimated, confirmed, postponed and cancelled states.",Event-driven revisions; expected dates can change.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium,See P1 source/provenance assessment; Monid authority unverified.,See P1 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Shared earnings calendar matched to holdings,Some dates are algorithmic estimates; mark confirmed versus estimated.,global_daily,0,0,1100,11000,30,30,11.0,110.0,0.3,0.3,https://api.monid.ai/public/v1/providers/nasdaq/endpoints/get_earnings_calendar
0.01,T04,1,nasdaq,/get_stock_sec_filings,Get SEC filings,Company filing records and source links,"Unknown Monid count; US exchange-listed source scope, tool dependent.",filing,High auditability only when accession/source links survive.,"After filing publication, not when the underlying event happened.",Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,High,See P1 source/provenance assessment; Monid authority unverified.,See P1 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Company filing timeline and original-document links,"General filing discovery; confirm accession IDs, form filters and amendments.",entity_hourly,0,0,1100,11000,35200,352000,11.0,110.0,352.0,3520.0,https://api.monid.ai/public/v1/providers/nasdaq/endpoints/get_stock_sec_filings
0.01,T05,1,nasdaq,/get_mutual_fund_quote,Get mutual fund quote,Mutual-fund price or NAV snapshot,"Unknown Monid count; US exchange-listed source scope, tool dependent.",nav,Check official fund NAV and valuation date.,Periodic NAV; not an intraday equity feed.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium; optional feature,See P1 source/provenance assessment; Monid authority unverified.,See P1 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Optional fund facts panel,Fund NAV is typically periodic; this is not a live stock quote or company count.,entity_daily,5,5,1100,11000,150,150,11.0,110.0,1.5,1.5,https://api.monid.ai/public/v1/providers/nasdaq/endpoints/get_mutual_fund_quote
0.01,T06,1,nasdaq,/get_stock_dividend_history,Get dividend history,Past dividend payments,"Unknown Monid count; US exchange-listed source scope, tool dependent.",reported,Good source-checking potential; reconcile selected values to company filings.,"Reporting-cycle data, often quarterly/annual; monitor revisions.",Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,High,See P1 source/provenance assessment; Monid authority unverified.,See P1 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Fundamental analysts and company researchers,Company income and distribution history,Past dividends do not guarantee future payments; distinguish ex-date and payment date.,entity_daily,0,0,1100,11000,3000,30000,11.0,110.0,30.0,300.0,https://api.monid.ai/public/v1/providers/nasdaq/endpoints/get_stock_dividend_history
0.01,T07,1,nasdaq,/get_stock_quote,Get stock quote,Stock quote snapshot,"Unknown Monid count; US exchange-listed source scope, tool dependent.",quote,Useful for a timestamped price display; correctness unmeasured through Monid.,Potentially frequent upstream updates; no verified Monid real-time delivery.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,High,See P1 source/provenance assessment; Monid authority unverified.,See P1 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Company header and watchlist price card,Website quote updates do not establish Monid feed latency or exchange entitlement.,entity_market,0,0,1100,11000,171600,1716000,11.0,110.0,1716.0,17160.0,https://api.monid.ai/public/v1/providers/nasdaq/endpoints/get_stock_quote
0.01,T08,1,nasdaq,/search_symbols,Search ticker symbols,Search security identifiers,"Unknown Monid count; US exchange-listed source scope, tool dependent.",lookup,"Useful candidate matching; validate exchange, instrument type and issuer identifiers.","Mostly reference data; newly listed, delisted and renamed securities need updates.",Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium,See P1 source/provenance assessment; Monid authority unverified.,See P1 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Catalogue users and data operations,Catalogue symbol resolver,Interactive search is not a complete security master; exchange collisions need resolution.,lookup_demand,0,0,1100,11000,550.0,5500.0,11.0,110.0,5.5,55.0,https://api.monid.ai/public/v1/providers/nasdaq/endpoints/search_symbols
0.01,T09,1,nasdaq,/get_market_indices,Get market indices,Broad market index overview,"Unknown Monid count; US exchange-listed source scope, tool dependent.",quote,Useful for a timestamped price display; correctness unmeasured through Monid.,Potentially frequent upstream updates; no verified Monid real-time delivery.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,High,See P1 source/provenance assessment; Monid authority unverified.,See P1 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Global markets overview,Index levels are not company coverage; provider-specific index delays apply.,global_market,0,0,1100,11000,1716,1716,11.0,110.0,17.16,17.16,https://api.monid.ai/public/v1/providers/nasdaq/endpoints/get_market_indices
0.01,T10,1,nasdaq,/get_stock_historical_quotes,Get historical quotes,Historical stock price observations,"Unknown Monid count; US exchange-listed source scope, tool dependent.",history,"Validate adjustments, gaps, timestamps and price units against an authorised reference.",Historical bars; interval size does not prove delivery latency.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,High,See P1 source/provenance assessment; Monid authority unverified.,See P1 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Company historical price chart,"Confirm adjusted prices, corporate actions and maximum history. The same-named Parse wrapper describes end-of-day history only; its relationship to Monid is unverified.",entity_daily,0,0,1100,11000,3000,30000,11.0,110.0,30.0,300.0,https://api.monid.ai/public/v1/providers/nasdaq/endpoints/get_stock_historical_quotes
